order_id,customer_id,product_id,order_ts,quantity,order_total,status
ORD00001801,CUST000209,PROD00047,2026-06-07 23:34:47,3,868.59,placed
ORD00001802,CUST000373,PROD00007,2026-06-07 17:41:17,4,1940.52,placed
ORD00001803,CUST000354,PROD00056,2026-06-07 18:32:07,1,305.5,placed
ORD00001804,CUST000204,PROD00056,2026-06-07 23:57:51,2,611.0,shipped
ORD00001805,CUST000415,PROD00014,2026-06-07 08:35:57,4,1261.08,placed
ORD00001806,CUST000270,PROD00058,2026-06-07 00:53:41,3,937.02,placed
ORD00001807,CUST000336,PROD00026,2026-06-07 16:44:38,2,381.1,cancelled
ORD00001808,CUST000089,PROD00038,2026-06-07 06:42:07,2,551.14,placed
ORD00001809,CUST000223,PROD00029,2026-06-07 18:44:46,5,470.65,placed
ORD00001810,CUST000359,PROD00045,2026-06-07 16:17:40,2,488.38,shipped
ORD00001811,CUST000044,PROD00026,2026-06-07 06:09:12,3,571.65,placed
ORD00001812,CUST000470,PROD00042,2026-06-07 19:34:47,5,1733.55,cancelled
ORD00001813,CUST000001,PROD00030,2026-06-07 21:08:44,3,132.27,shipped
ORD00001814,CUST000414,PROD00021,2026-06-07 19:29:43,5,1593.55,placed
ORD00001815,CUST000166,PROD00022,2026-06-07 17:21:11,5,273.75,placed
ORD00001816,CUST000078,PROD00028,2026-06-07 21:57:50,3,855.39,delivered
ORD00001817,CUST000195,PROD00019,2026-06-07 19:59:24,1,374.65,delivered
ORD00001818,CUST000468,PROD00036,2026-06-07 19:22:36,3,1349.88,placed
ORD00001819,CUST000016,PROD00060,2026-06-07 10:35:29,1,331.29,placed
ORD00001820,CUST000226,PROD00007,2026-06-07 12:00:09,4,1940.52,placed
ORD00001821,CUST000299,PROD00013,2026-06-07 02:32:51,5,965.5,cancelled
ORD00001822,CUST000072,PROD00038,2026-06-07 14:26:07,3,826.71,placed
ORD00001823,CUST000048,PROD00035,2026-06-07 16:04:15,5,656.95,placed
ORD00001824,CUST000059,PROD00054,2026-06-07 19:08:09,3,1357.68,placed
ORD00001825,CUST000029,PROD00056,2026-06-07 01:35:13,3,916.5,placed
ORD00001826,CUST000309,PROD00012,2026-06-07 09:49:19,3,1016.43,shipped
ORD00001827,CUST000327,PROD00012,2026-06-07 16:16:56,5,1694.05,shipped
ORD00001828,CUST000456,PROD00032,2026-06-07 23:16:54,3,372.63,placed
ORD00001829,CUST000026,PROD00041,2026-06-07 23:23:41,2,642.54,placed
ORD00001830,CUST000073,PROD00038,2026-06-07 00:39:21,2,551.14,placed
ORD00001831,CUST000375,PROD00057,2026-06-07 12:22:30,2,226.82,shipped
ORD00001832,CUST000033,PROD00042,2026-06-07 14:15:04,5,1733.55,delivered
ORD00001833,CUST000019,PROD00032,2026-06-07 06:13:22,3,372.63,shipped
ORD00001834,CUST000497,PROD00002,2026-06-07 23:24:56,4,1742.0,shipped
ORD00001835,CUST000077,PROD00012,2026-06-07 08:16:01,2,677.62,delivered
ORD00001836,CUST000209,PROD00039,2026-06-07 04:20:06,2,447.32,shipped
ORD00001837,CUST000009,PROD00025,2026-06-07 01:31:25,2,65.56,placed
