product_id,name,category,price
PROD00001,Product 1,sports,482.85
PROD00002,Product 2,apparel,435.5
PROD00003,Product 3,beauty,423.29
PROD00004,Product 4,electronics,265.35
PROD00005,Product 5,grocery,12.6
PROD00006,Product 6,home,207.94
PROD00007,Product 7,toys,485.13
PROD00008,Product 8,electronics,237.4
PROD00009,Product 9,apparel,172.59
PROD00010,Product 10,toys,201.75
PROD00011,Product 11,electronics,426.62
PROD00012,Product 12,beauty,338.81
PROD00013,Product 13,sports,193.1
PROD00014,Product 14,apparel,315.27
PROD00015,Product 15,beauty,246.53
PROD00016,Product 16,sports,22.77
PROD00017,Product 17,electronics,121.21
PROD00018,Product 18,toys,460.86
PROD00019,Product 19,home,374.65
PROD00020,Product 20,grocery,489.28
PROD00021,Product 21,beauty,318.71
PROD00022,Product 22,beauty,54.75
PROD00023,Product 23,home,348.53
PROD00024,Product 24,electronics,27.77
PROD00025,Product 25,beauty,32.78
PROD00026,Product 26,apparel,190.55
PROD00027,Product 27,home,125.88
PROD00028,Product 28,grocery,285.13
PROD00029,Product 29,beauty,94.13
PROD00030,Product 30,home,44.09
PROD00031,Product 31,beauty,194.36
PROD00032,Product 32,toys,124.21
PROD00033,Product 33,sports,75.84
PROD00034,Product 34,grocery,320.76
PROD00035,Product 35,grocery,131.39
PROD00036,Product 36,electronics,449.96
PROD00037,Product 37,grocery,451.1
PROD00038,Product 38,toys,275.57
PROD00039,Product 39,electronics,223.66
PROD00040,Product 40,apparel,493.89
PROD00041,Product 41,apparel,321.27
PROD00042,Product 42,grocery,346.71
PROD00043,Product 43,grocery,423.43
PROD00044,Product 44,home,499.69
PROD00045,Product 45,beauty,244.19
PROD00046,Product 46,home,193.78
PROD00047,Product 47,apparel,289.53
PROD00048,Product 48,toys,151.14
PROD00049,Product 49,beauty,330.82
PROD00050,Product 50,apparel,9.01
PROD00051,Product 51,beauty,344.47
PROD00052,Product 52,toys,486.93
PROD00053,Product 53,sports,373.86
PROD00054,Product 54,beauty,452.56
PROD00055,Product 55,apparel,388.99
PROD00056,Product 56,home,305.5
PROD00057,Product 57,apparel,113.41
PROD00058,Product 58,home,312.34
PROD00059,Product 59,toys,379.01
PROD00060,Product 60,beauty,331.29
